,Date,Open,Close,Volume,SQZ
40,2016-04-27,19.26,19.5,335600,lime
41,2016-04-28,19.41,19.219998999999998,256900,lime
42,2016-04-29,19.23,19.200001,150300,lime
43,2016-05-02,19.200001,19.190001000000002,306700,green
44,2016-05-03,18.91,18.709999,793500,green
45,2016-05-04,18.74,18.450001,138500,green
46,2016-05-05,18.75,18.559998999999998,94700,green
47,2016-05-06,18.459999,18.52,66100,green
48,2016-05-09,18.48,18.25,660000,green
49,2016-05-10,18.360001,18.610001,229300,red
50,2016-05-11,18.6,18.65,138600,red
51,2016-05-12,18.860001,18.700001,131900,red
52,2016-05-13,18.639999,18.469998999999998,158100,red
53,2016-05-16,18.700001,18.790001,103500,red
54,2016-05-17,18.790001,18.860001,298900,red
55,2016-05-18,18.9,18.67,104400,red
56,2016-05-19,18.530001000000002,18.68,100000,maroon
57,2016-05-20,18.76,18.780001000000002,57000,maroon
58,2016-05-23,18.690001000000002,18.74,56500,maroon
59,2016-05-24,18.85,18.809998999999998,84200,maroon
60,2016-05-25,18.92,19.129998999999998,183400,maroon
61,2016-05-26,19.23,19.040001,121400,maroon
62,2016-05-27,19.030001000000002,19.07,73900,lime
63,2016-05-31,19.120001000000002,19.0,259900,lime
64,2016-06-01,18.799999,19.030001000000002,117600,lime
65,2016-06-02,18.860001,18.959999,86500,lime
66,2016-06-03,18.98,18.91,71700,green
67,2016-06-06,19.1,19.35,104300,lime
68,2016-06-07,19.469998999999998,19.75,144900,lime
69,2016-06-08,19.91,19.73,182000,lime
70,2016-06-09,19.549999,19.620001000000002,98900,lime
71,2016-06-10,19.41,19.190001000000002,176700,green
72,2016-06-13,19.09,19.110001,134300,green
73,2016-06-14,19.030001000000002,19.09,173800,green
74,2016-06-15,19.0,19.049999,74000,green
75,2016-06-16,18.85,18.959999,358600,green
76,2016-06-17,19.0,19.02,293900,green
77,2016-06-20,19.26,19.200001,186600,green
78,2016-06-21,19.139999,19.4,96600,green
79,2016-06-22,19.48,19.280001000000002,179900,red
80,2016-06-23,19.48,19.629998999999998,116700,maroon
81,2016-06-24,18.959999,18.91,314000,red
82,2016-06-27,18.700001,18.360001,285700,red
83,2016-06-28,18.709999,18.870001000000002,136200,red
84,2016-06-29,19.049999,19.25,352100,red
85,2016-06-30,19.190001000000002,19.4,164500,maroon
86,2016-07-01,19.389999,19.549999,186300,maroon
87,2016-07-05,19.26,19.120001000000002,323400,red
88,2016-07-06,19.08,19.219998999999998,170300,maroon
89,2016-07-07,19.35,19.01,280600,maroon
90,2016-07-08,19.190001000000002,19.26,164200,maroon
91,2016-07-11,19.389999,19.27,179100,lime
92,2016-07-12,19.51,19.77,905300,lime
93,2016-07-13,19.76,19.59,354500,lime
94,2016-07-14,19.719998999999998,19.68,166500,lime
95,2016-07-15,19.719998999999998,19.68,72100,lime
96,2016-07-18,19.6,19.66,91400,lime
97,2016-07-19,19.67,19.559998999999998,76900,green
98,2016-07-20,19.52,19.540001,176900,lime
99,2016-07-21,19.52,19.34,95300,lime
100,2016-07-22,19.42,19.389999,84900,green
101,2016-07-25,19.299999,19.0,236000,green
102,2016-07-26,18.92,19.09,144900,green
103,2016-07-27,19.09,18.889999,127300,red
104,2016-07-28,18.889999,18.85,102900,red
105,2016-07-29,18.639999,19.01,141500,red
106,2016-08-01,18.879998999999998,18.370001000000002,618500,red
107,2016-08-02,18.48,18.52,357000,red
108,2016-08-03,18.51,18.889999,193500,red
109,2016-08-04,18.76,18.879998999999998,81300,red
110,2016-08-05,18.9,19.040001,142300,red
111,2016-08-08,19.200001,19.32,252000,maroon
112,2016-08-09,19.379998999999998,19.219998999999998,147200,maroon
113,2016-08-10,19.280001000000002,18.969998999999998,90900,maroon
114,2016-08-11,19.040001,19.25,199100,maroon
115,2016-08-12,19.32,19.35,77300,maroon
116,2016-08-15,19.5,19.530001000000002,160300,maroon
117,2016-08-16,19.469998999999998,19.559998999999998,128500,lime
118,2016-08-17,19.530001000000002,19.620001000000002,125300,lime
119,2016-08-18,19.700001,19.969998999999998,127300,lime
120,2016-08-19,19.99,19.83,82300,lime
121,2016-08-22,19.73,19.620001000000002,91300,lime
122,2016-08-23,19.610001,19.709999,73400,lime
123,2016-08-24,19.65,19.629998999999998,97000,lime
124,2016-08-25,19.639999,19.59,49100,green
125,2016-08-26,19.66,19.549999,78700,green
126,2016-08-29,19.5,19.67,62300,green
127,2016-08-30,19.74,19.610001,55500,green
128,2016-08-31,19.51,19.32,123300,green
129,2016-09-01,19.27,19.280001000000002,130200,green
130,2016-09-02,19.389999,19.469998999999998,80700,green
131,2016-09-06,19.5,19.75,118000,green
132,2016-09-07,19.870001000000002,19.83,122600,green
133,2016-09-08,19.93,20.190001000000002,113200,lime
134,2016-09-09,20.049999,19.6,166500,red
135,2016-09-12,19.48,19.77,123100,red
136,2016-09-13,19.52,19.18,136100,red
137,2016-09-14,19.139999,18.940001000000002,107100,red
138,2016-09-15,18.98,19.139999,74900,red
139,2016-09-16,18.879998999999998,18.879998999999998,76900,red
140,2016-09-19,19.049999,18.860001,94500,red
141,2016-09-20,18.860001,18.700001,264400,red
142,2016-09-21,18.889999,19.120001000000002,189400,maroon
143,2016-09-22,19.290001,19.18,136300,maroon
144,2016-09-23,19.07,18.92,136900,red
145,2016-09-26,18.9,18.84,211600,red
146,2016-09-27,18.700001,18.709999,174600,red
147,2016-09-28,18.780001000000002,19.559998999999998,278200,maroon
148,2016-09-29,19.530001000000002,19.58,172900,maroon
149,2016-09-30,19.690001000000002,19.83,157800,maroon
150,2016-10-03,19.9,19.790001,192300,maroon
151,2016-10-04,19.84,19.610001,79300,maroon
152,2016-10-05,19.799999,19.91,119200,lime
153,2016-10-06,20.0,19.950001,67300,lime
154,2016-10-07,20.01,19.85,83700,lime
155,2016-10-10,20.01,20.18,108700,lime
156,2016-10-11,20.15,19.940001000000002,80900,lime
157,2016-10-12,19.889999,19.83,178300,lime
158,2016-10-13,19.68,19.709999,123600,green
159,2016-10-14,19.84,19.629998999999998,331100,green
160,2016-10-17,19.620001000000002,19.52,139400,green
161,2016-10-18,19.75,19.610001,94400,green
162,2016-10-19,19.780001000000002,19.879998999999998,168900,green
163,2016-10-20,19.809998999999998,19.860001,112600,green
164,2016-10-21,19.73,19.74,91800,green
165,2016-10-24,19.790001,19.67,135200,green
166,2016-10-25,19.629998999999998,19.530001000000002,183100,red
167,2016-10-26,19.389999,19.57,86500,red
168,2016-10-27,19.65,19.49,77300,red
169,2016-10-28,19.49,19.379998999999998,105200,red
170,2016-10-31,19.299999,19.120001000000002,134200,red
171,2016-11-01,19.24,19.139999,317100,red
172,2016-11-02,18.959999,18.940001000000002,304900,red
173,2016-11-03,18.92,19.0,64300,red
174,2016-11-04,18.9,18.9,111900,red
175,2016-11-07,19.17,19.32,168400,maroon
176,2016-11-08,19.25,19.33,98700,maroon
177,2016-11-09,19.299999,19.719998999999998,311700,maroon
178,2016-11-10,19.73,19.780001000000002,298400,maroon
179,2016-11-11,19.67,19.459999,150100,maroon
